mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.8110227584838867,0.04366770768418066,0.009039799372355143,0.0006666378266401018,0.8,0.3,7,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 7, 'n_estimators': 50, 'subsample': 0.8}",0.645474448397365,0.6052083385453846,0.6219475374311956,0.6242101081246484,0.016516240901207763,68
0.813526471455892,0.07343883870036655,0.008623679478963217,3.075774218249771e-05,0.8,0.3,7,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 7, 'n_estimators': 50, 'subsample': 1.0}",0.6755023895412946,0.5811409669954455,0.6145788728377077,0.623740743124816,0.039063831665513964,72
1.3301151593526204,0.1497518482712236,0.00930023193359375,8.721189547799158e-05,0.8,0.3,7,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.6453614371137976,0.6054921840058594,0.6220525808559374,0.6243020673251981,0.016354091799460062,66
1.3219557603200276,0.15434126011474292,0.009587605794270834,0.0004633797554749645,0.8,0.3,7,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.6755777022706928,0.581053184351952,0.6147703720543741,0.6238004195590063,0.039114169984755524,70
1.649853785832723,0.13067668689378853,0.009680032730102539,0.00034370026319778557,0.8,0.3,7,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",0.6453657859094268,0.6054662728987679,0.6220529175193381,0.6242949921091776,0.016365878293403403,67
1.3029277324676514,0.11422283859866918,0.008728504180908203,0.0002411158889604321,0.8,0.3,7,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}",0.6755777022706928,0.581053184351952,0.6147703720543741,0.6238004195590063,0.039114169984755524,70
0.17449307441711426,0.007234762070552547,0.019171635309855144,0.015761988807025503,1.0,0.01,3,50,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",0.4010670169759174,0.35506333666091183,0.3094853516258449,0.3552052350875581,0.03738819295308597,106
0.1859892209370931,0.019153855062442198,0.008126974105834961,0.000751846024106136,1.0,0.01,3,50,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}",0.3920898712922406,0.35143437678310085,0.31279297804759154,0.35210574204097767,0.03237630170402862,107
0.43350569407145184,0.016195218128894844,0.008185625076293945,0.0003456044867401873,1.0,0.01,3,100,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.5676494002194216,0.5086837115184972,0.46301758129456816,0.5131168976774957,0.04283062951923603,92
0.3418281078338623,0.06013916889242236,0.00804432233174642,0.00011867280616857453,1.0,0.01,3,100,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.5621133211531821,0.5002164982629658,0.45822621417128406,0.5068520111958107,0.042670483734298485,95
0.616530974706014,0.044331556620084596,0.009907245635986328,0.0023989061194638283,1.0,0.01,3,200,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.6688955316455037,0.6306036037917645,0.5848905574484904,0.6281298976285862,0.034339465527742564,61
0.6207521756490072,0.016766358876294688,0.008680025736490885,0.00011425472274207309,1.0,0.01,3,200,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.6584290204396338,0.6274612007385134,0.5865990163685215,0.6241630791822229,0.02941706506507238,69
0.4139121373494466,0.007020113800947593,0.007979949315388998,9.821462945444806e-05,1.0,0.01,5,50,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",0.41244417409321976,0.3860530791225111,0.3086483929286513,0.36904854871479403,0.044047372889356104,99
0.46653000513712567,0.021901100262984547,0.013530333836873373,0.007832870574311998,1.0,0.01,5,50,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'subsample': 1.0}",0.4177897668552387,0.4030778392962777,0.2827646966033547,0.3678774342516237,0.060482745669666445,101
0.9623866081237793,0.011991254101491291,0.00849445660909017,0.00017680462683533605,1.0,0.01,5,100,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.5759349857161592,0.5397309033632746,0.4604832862778626,0.525383058452432,0.04821251024362096,88
0.8764979839324951,0.023368994280884257,0.0084837277730306,0.00036041205614464525,1.0,0.01,5,100,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.5790113291999668,0.5265724527713754,0.4257944777151008,0.5104594198954809,0.06357973086908861,94
1.7362407843271892,0.09532843155236626,0.00977929433186849,0.0006184383801214014,1.0,0.01,5,200,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.6763893818121893,0.6359855919102371,0.5741148385377463,0.6288299374200575,0.042058872182423074,60
1.8282421429951985,0.1264894514941462,0.009393453598022461,0.00040521400810472174,1.0,0.01,5,200,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.65660469091652,0.6038788566007525,0.5590537501108181,0.6065124325426968,0.03986851978441868,82
0.7695887883504232,0.018122188991871468,0.008448441823323568,0.0003174406073456175,1.0,0.01,7,50,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 50, 'subsample': 0.8}",0.418754804344734,0.38338564054252466,0.3100489835139578,0.3707298094670722,0.04527226093890897,98
